F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,Class
8764.06,1,3717.58,-10.738,14.493,1,12.6741,-12.4365,1.72,-1482.465,3669.72,-11.506,16.092,-67.9,-2550.5,-89155.02,-7.152582,6042.44,2.0901,29.54,False
8211.86,1,3751.52,-11.884,9.8217,1,11.6628,-17.376,1.72,-1468.2,3744.188,-15.406,13.2849,-64.01,-3162.36,-89173.26,-11.619,6978.64,3.5904,29.84,False
9102.86,1,3854.7,-12.496,10.1253,0,13.677,-14.838,1.72,-1502.64,3779.66,-15.636,14.106,-42.869,-3034.6,-89230.732,-17.016,6943.18,9.195,,False
8475.78,1,3701.94,-11.29,13.746,1,21.657,-11.3466,0.72,-1521.63,3700.06,-9.622,15.1626,-38.565,-3166.08,-89420.24,-7.21353,6813.24,3.9912,28.76,False
11462.86,0,3723.06,-12.508,13.266,0,16.482,-12.6738,1.72,-1738.78,3733.9424,-15.87,12.6924,-38.522,-2990.88,-89195,-8.9178,7009.94,1.9818,27.24,False
9759.06,0,3692.18,-10.2504,10.7973,0,10.36404,-11.3235,0.72,-1515.44,3541.03,-8.6708,13.1283,-36.10248,-3063.54,-89202.66,-7.43937,-4766.96,6.615,,True
8494.68,0,4162.28,-9.4688,9.6327,1,10.7379,-13.5003,1.72,-1564.45,5070.93,-7.6642,15.33,-41.784,-3068.22,-89167.48,-8.0976,4037.04,11.877,,False
16404.86,0,4386.08,-8.7766,10.8822,0,10.35621,-19.161,0.72,-1524.9,3877.43,-10.286,12.44244,-47.81,-1574.9,-89216.26,-9.0495,10561.04,2.001,,False
7983.46,1,3815.94,-14.962,13.767,0,11.6448,-11.3898,1.72,-2238.68,4553.63,-7.9246,13.911,-93.76,-3516.3,-90565.1,-7.25934,5754.84,1.9398,29.86,False
7210.26,1,3330.88,-9.15,10.1955,0,16.749,-11.0091,1.72,-3450.68,3937.83,-7.34536,12.50166,-59.37,-3219.22,-89224.812,-8.8296,6495.24,4.788,31.04,True
8679.66,1,3336.18,-8.7596,9.8862,0,13.425,-14.685,1.72,-1469.18,3616.63,-7.9216,17.889,-43.647,-3006.44,-89731.3,-8.0622,7008.22,4.443,,False
14872.86,1,3930.48,-9.5146,9.6069,1,13.635,-14.475,1.72,-1602.08,4472.43,-7.6288,12.6039,-39.75,-3035.44,-89226.998,-11.997,7067.24,10.68,,True
8735.26,0,3569.98,-9.3274,10.0221,0,10.8111,-16.95,0.72,-1535.6,3751.68,-9.414,17.031,-40.165,-3011.48,-89260.08,-10.545,8679.84,3.5001,27.5,False
6723.06,0,3507.68,-9.0332,11.4558,1,14.859,-12.8241,0.72,-1638.98,3895.83,-8.159,12.711,-41.876,-3194.76,-89196.28,-8.7693,6370.24,4.935,33.18,True
17938.86,1,3893.29,-11.576,9.41793,0,11.8299,-15.93,1.72,-1422.89,4007.73,-8.3254,12.4584,-40.268,-2977.08,-89280.52,-10.362,7933.64,7.815,29.54,False
9971.26,0,3805.554,-13.132,12.735,0,16.098,-13.875,1.72,-1588.98,4913.93,-7.39924,13.2096,-75.52,-3013.16,-89490.1,-8.2695,6918.18,5.856,28.64,False
8588.32,0,3853.09,-11.752,12.954,1,15.393,-12.1149,0.72,-1269.38,4436.83,-7.4722,24.576,-36.3511,-3022.52,-89284.48,-7.18764,7166.44,9.684,,False
8371.36,0,4237.78,-9.0588,13.983,1,11.2851,-10.84122,0.72,-7226.68,4810.93,-7.9752,14.1279,-41.857,-3026.78,-89259.18,-7.5924,5493.04,2.9904,29.44,True
8045.86,1,3646.68,-9.634,9.38373,0,13.248,-15.915,0.72,-1468.51,3707.08,-8.474,13.1019,-51.81,-3143.9,-88824.3,-7.166397,6370.64,5.151,29.72,True
9043.26,0,3802.034,-11.328,9.9024,0,19.062,-14.088,0.72,-1408.51,3735.8222,-8.1886,14.0727,-55.89,-2264.7,-85016.3,-7.2507,6854.984,2.1306,30.28,False
8616.92,1,3730.61,-12.212,10.5213,1,10.8114,-14.565,1.72,-1608.98,3821.21,-7.3674,19.548,-38.512,-3050.9,-89250.556,-7.43379,7656.24,2.8881,32.1,True
9201.86,1,4021.68,-10.0686,9.7242,0,17.262,-11.4708,0.72,-1267.08,3828.03,-11.852,14.3592,-36.5051,-2561.7,-89237.433,-8.3142,7021.56,3.0828,,False
9406.46,0,3642.08,-10.0186,10.8033,0,13.824,-13.47,1.72,-1674.38,3717.84,-15.716,13.5891,-44.395,-3083.44,-89296.24,-7.154334,6280.04,6.639,,True
8653.26,0,3870.63,-10.85,10.422,1,11.5149,-16.512,1.72,-1497.62,4844.93,-7.483,16.983,-36.1656,-3004.5,-86756.3,-7.7568,6664.2,5.943,,False
