F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,Target
268.5,-7965.33,4,20.28,-122.08,USA,3877.2,10.44,Very low,62.34,46.98,-128.84,4552.8,43.53,-4.29,3392.71,1094.42,384.22,-1330.18,1416.12,-15.63,-719.56,1.21,-27.39,7.68,121.11,-23.16,-10654.95,-327.96,5050.17,1,59.2,-6.58,-61.3,188.82
112.44,-4637.76,3,3.82,-217.44,Rest,4195.8,8.61,Low,72.75,97.44,-277.54,2632.17,-238.47,-5.38,3143.19,1152.14,-1077.46,-2811.7,141.34,-7.08,5.16,4.19,-29.2,8.1,28.2,-18.98,6115.59,-416.93,3137.28,5,38.4,-3.2,-49.31,-8.93
329.64,-4883.24,3,6.1,-543.05,UK,3717.9,21.9,Low,68.85,64.35,-241.26,4522.11,-327.81,-11.31,-3404.54,1572.96,-1817.82,-2017.12,263.9,1.83,-279.64,3.52,-21.64,72.44,153.54,-21.96,-198.15,-32.38,3902.22,4,42.26,-1.5,-19.3,149.4
261.6,-8774.62,3,15.98,-177.57,Europe,3537.64,11.7,Very high,67.26,74.94,-203.34,4244.43,-235.32,-11.22,3784.29,1156.04,-1420.78,-1308.38,1206.88,-8.37,524.34,0.18,-29.46,0.24,112.45,-20.9,-4018.53,-578.3,5599.65,1,35.98,-1.52,-6.44,243.91
434.82,-12715.77,4,15.7,-478.52,Europe,4397.68,22.47,Low,34.56,83.1,-208.68,5392.14,-97.62,-4.76,1067,2508.76,-1669.72,-2131.52,2546.4,-14.64,-304,1.34,-29.24,0.04,46.31,-18.94,-203.34,-143.84,3682.26,4,52.09,-15.74,-79.37,147.16
158.73,-11243.45,1,3.32,14.07,Europe,3689.42,19.02,Very high,61.71,73.65,-192.12,3274.38,-136.74,-6.02,-399.1,1725.3,-1559.94,-1734.98,1046.26,-15.87,-620.16,1.38,-27.06,0.86,81.7,-9.9,-8331.12,-352.31,5062.14,1,77.84,10.56,-59.3,249.61
140.73,-6928.53,2,11.16,-447.43,USA,4619.58,17.64,High,61.59,51.51,-269.66,5599.59,-56.37,-9.55,4703.45,2053.42,-1999.18,-1411.42,441.58,-8.22,11.76,2.11,-34.16,33.4,96.32,-22.24,-17723.01,-294.98,4072.5,5,68.37,-6.74,-101.5,110.94
91.26,-12605.79,3,3.58,-349.89,USA,3764.18,6.99,Very high,87.36,54.57,-170.9,6234.87,-106.86,-9.81,3899.46,1453.22,-1174.7,-1072.38,1001.62,1.35,-1338.86,6.96,-36.25,2.72,136.74,-13.72,-18147.69,-124.76,3391.89,2,-6.93,-6.32,-30.26,80.11
361.17,-9978.57,4,9.44,-467.7,Rest,4463.98,-2.97,High,67.38,58.53,-241.52,5004.72,-98.73,-13.38,2764.2,2569.3,-1477.68,-1177.84,1275.38,-1.8,-1188.98,6.26,-29.12,137.74,123.85,-24.26,4341.39,-264.05,5572.44,3,34.94,16,-57.22,-8.93
274.38,-10699.8,5,2.34,-83.77,USA,6774.9,8.85,Very high,51.6,56.76,-152.64,4278.87,-132.33,-5.23,1867.42,2653.38,-1877.96,-2313.92,769.64,7.14,-11.3,4.7,-27.38,11.38,129.84,-2.46,-1447.41,-257.88,4030.53,2,86.3,-3.64,-68.28,274.04
